"","TIME","TIMECD","CNTRYNM","CNTRYCD","CTRLCORR","GOVEFF","PSAVT","REGQUA","RULAW","VOIACC","ANNI","ANNICAPITA","GDP","GDPCAPITA","GGFCE","GNI","GNICAPITA","RRND","GINIINDEX","UNEMPLOY","INCOMEGRP"
"27","2003","YR2003","Cabo Verde","CPV",0.478955358,-0.282835037,0.918948591,-0.282602161,0.256376088,0.594847262,694238352.1,1446.061776,813260468.9,1693.978552,NA,798746078,1420,NA,NA,NA,"LOWER-MIDDLE"
"28","2003","YR2003","Cambodia","KHM",-0.989836037,-0.913508534,-0.652008533,-0.420781255,-1.155108333,-0.899962723,4136209389,323.4519229,4658246918,364.2753017,245041900,4481379859,360,NA,NA,0.91,"LOW"
"29","2003","YR2003","Cameroon","CMR",-0.981341302,-0.838255286,-0.429470658,-0.9727934,-1.163299561,-1.060005665,13068847280,799.1064432,15970315030,976.5193032,1787753217,15443546602,820,NA,NA,NA,"LOW"
"30","2003","YR2003","Canada","CAN",1.931292057,1.923825741,1.053076744,1.52460897,1.697056532,1.547556758,7.26623e+11,22962.40291,8.95541e+11,28300.4631,1.78179e+11,8.73516e+11,25480,3913.54834,33.8,7.57,"HIGH"
"31","2003","YR2003","Central African Republic","CAF",-1.020734549,-1.20287776,-1.538873434,-1.119567871,-1.433038116,-1.248254657,1040707461,258.4426505,1142315522,283.675348,118319200.8,1139521477,250,NA,NA,NA,"LOW"
"32","2003","YR2003","Chad","TCD",-1.465013862,-1.172560811,-1.372430205,-1.049728274,-1.51830554,-1.103416204,1786960117,194.3115484,2742815071,298.2498816,208122236.4,2284427678,220,NA,39.8,NA,"LOW"
"33","2003","YR2003","Chile","CHL",1.167100906,1.106830359,0.761611938,1.333441377,1.177210808,1.056120157,59203000902,3733.059007,76507853876,4824.220541,9317270616,72630633218,4620,NA,51.5,9.77,"UPPER-MIDDLE"
"34","2003","YR2003","China","CHN",-0.39526549,-0.163367793,-0.565357924,-0.392048836,-0.553043842,-1.512429118,1.39975e+12,1086.4258,1.66028e+12,1288.637543,2.54259e+11,1.65006e+12,1280,655.4441528,NA,4.3,"LOWER-MIDDLE"
"35","2003","YR2003","Colombia","COL",-0.204286307,-0.218225598,-2.376026869,-0.126518682,-0.739117563,-0.429242462,75468038824,1838.09767,94644969146,2305.170507,14774408263,91412427215,2400,NA,53.6,13.22,"LOWER-MIDDLE"
"36","2003","YR2003","Comoros","COM",-0.693807721,-1.224674344,-0.673140526,-1.268216372,-0.751481771,-0.574106872,497796662.6,873.1283437,546885223.2,959.2289884,60403785.94,545532578.2,800,NA,NA,NA,"LOW"
"37","2003","YR2003","Congo, Dem. Rep.","COD",-1.526455402,-1.717788696,-2.02786994,-1.682577014,-1.850252748,-1.555048466,5180599023,97.3693601,8937567060,167.9815754,442035395.4,8710928320,160,NA,NA,NA,"LOW"
